source: en: Keeping the Secret of Genetic Testing second: Giữ bí mật của xét nghiệm di truyền	en: Keeping the Secret of Genetic Testing
source: en: The woman did not know the test result , but she overheard the talk and decided to divorce with her husband . second: Người phụ nữ không biết kết quả xét nghiệm, nhưng cô nghe lỏm được cuộc nói chuyện và quyết định ly dị với chồng.	en: The woman did not know the test result , but she overheard the talk and decided to divorce with her husband .
source: en: After got the divorce certificate , the man showed her the test report ; it wrote that the woman carried the disease gene instead of the man . second: Sau khi nhận được giấy tờ ly hôn, người đàn ông cho cô xem bản báo cáo xét nghiệm; nó viết rằng người phụ nữ mang gen bệnh thay vì người đàn ông.	en: After got the divorce certificate , the man showed her the test report ; it wrote that the woman carried the disease gene instead of the man .
source: en: At that time , the woman known how much her husband loved her but she ruined her happiness . second: Lúc đó, người phụ nữ biết chồng yêu mình nhiều thế nào nhưng cô ta đã phá hỏng hạnh phúc của mình.	en: At that time , the woman known how much her husband loved her but she ruined her happiness .
source: en: Tears showed nothing . second: Nước mắt không cho thấy gì cả.	en: Tears showed nothing .
source: en: People can not avoid carrying the disease genes , which they born with . second: Con người không thể tránh khỏi việc mang gen bệnh, mà họ được sinh ra với.	en: People can not avoid carrying the disease genes , which they born with .
source: en: However , they can avoid the disease genes being inhered to their children . second: Tuy nhiên, họ có thể tránh được việc truyền gen bệnh cho con cái của họ.	en: However , they can avoid the disease genes being inhered to their children .
source: en: By telling their relatives that they may have a risk of carrying the disease gene can make their family members bond closely , also many risks and conflicts can be avoided . second: Bằng cách nói với người thân rằng họ có nguy cơ mang gen bệnh sẽ giúp các thành viên trong gia đình gắn kết chặt chẽ hơn, đồng thời tránh được nhiều rủi ro và xung đột.	en: By telling their relatives that they may have a risk of carrying the disease gene can make their family members bond closely , also many risks and conflicts can be avoided .
source: en: Genetic testing has become a beneficial way to predict and protect each individual at risk for a disorder . second: Xét nghiệm di truyền đã trở thành một cách có lợi để dự đoán và bảo vệ từng cá nhân có nguy cơ mắc bệnh rối loạn.	en: Genetic testing has become a beneficial way to predict and protect each individual at risk for a disorder .
source: en: However , there rises a family-related ethical dilemma if it is right to tell a carrier 's family once the test has been conducted and the results are known . second: Tuy nhiên, sẽ nảy sinh một tình thế khó xử về đạo đức liên quan đến gia đình nếu nói với gia đình của người mang mầm bệnh là đúng một khi thử nghiệm đã được tiến hành và kết quả được biết.	en: However , there rises a family-related ethical dilemma if it is right to tell a carrier 's family once the test has been conducted and the results are known .
source: en: I am most inclined to believe that his or her relatives have the rights to know the result . second: Tôi tin rằng người thân của anh ta hoặc cô ta có quyền được biết kết quả.	en: I am most inclined to believe that his or her relatives have the rights to know the result .
source: en: The answer is simply that everyone , especially our family , has the right to know the truth . second: Câu trả lời đơn giản là mọi người, đặc biệt là gia đình chúng ta, có quyền được biết sự thật.	en: The answer is simply that everyone , especially our family , has the right to know the truth .
source: en: Though it is said that genetic testing involves emotional and social risks due to the test results , while the potential negative impacts of the risk still exist , the consequence will be significant if other members of his or her family do not know . second: Mặc dù người ta nói rằng xét nghiệm di truyền liên quan đến các rủi ro về tình cảm và xã hội do kết quả xét nghiệm. trong khi các tác động tiêu cực tiềm ẩn của rủi ro vẫn tồn tại, hậu quả sẽ rất đáng kể nếu các thành viên khác trong gia đình không biết.	en: Though it is said that genetic testing involves emotional and social risks due to the test results , while the potential negative impacts of the risk still exist , the consequence will be significant if other members of his or her family do not know .
source: en: Then they are unable to have a suitable method to protect themselves and emotional preparations . second: Sau đó họ không thể có một phương pháp thích hợp để bảo vệ bản thân và chuẩn bị tinh thần.	en: Then they are unable to have a suitable method to protect themselves and emotional preparations .
source: en: Taking Angeline Jolie for example , she is famous but she still revealed the truth about her genetic testing on the development of her breast cancer risk . second: Lấy Angeline Jolie làm ví dụ, cô ấy nổi tiếng nhưng vẫn tiết lộ sự thật về xét nghiệm di truyền về nguy cơ phát triển ung thư vú của cô ấy.	en: Taking Angeline Jolie for example , she is famous but she still revealed the truth about her genetic testing on the development of her breast cancer risk .
source: en: Everything is not that bad if you know how to look at the bright side with hope . second: Mọi thứ sẽ không tệ đến thế nếu anh biết cách nhìn vào mặt tích cực với hy vọng.	en: Everything is not that bad if you know how to look at the bright side with hope .
source: en: People may feel angry , depressed , or even guilty about their results . second: Người ta có thể cảm thấy tức giận, chán nản, hoặc thậm chí có lỗi về kết quả của mình.	en: People may feel angry , depressed , or even guilty about their results .
source: en: In some cases , a carrier can suffer tension within a family because the result is also related to the others ' risk somehow . second: Trong một số trường hợp, người mang mầm bệnh có thể phải chịu căng thẳng trong gia đình vì hậu quả cũng liên quan đến rủi ro của người khác.	en: In some cases , a carrier can suffer tension within a family because the result is also related to the others ' risk somehow .
source: en: However , I believe it is just a usual reaction to this situation . second: Tuy nhiên, tôi tin rằng đó chỉ là phản ứng thông thường đối với tình huống này.	en: However , I believe it is just a usual reaction to this situation .
source: en: In addition , though it can be possible in some cases that he or she and the family can undergo specific discrimination in employment and their social life , how people can face more dramatic tragedy such as sickness or death if they can not even overcome this harsh situation . second: Ngoài ra, mặc dù trong một số trường hợp, người đó và gia đình có thể trải qua sự phân biệt đối xử cụ thể trong công việc và đời sống xã hội của họ, làm thế nào mọi người có thể đối mặt với bi kịch kịch tính hơn như bệnh tật hoặc cái chết nếu họ thậm chí không thể vượt qua tình huống khắc nghiệt này.	en: In addition , though it can be possible in some cases that he or she and the family can undergo specific discrimination in employment and their social life , how people can face more dramatic tragedy such as sickness or death if they can not even overcome this harsh situation .
source: en: Life is hard but people can not blame it on being unfair . second: Cuộc sống rất khó khăn nhưng mọi người không thể đổ lỗi cho sự bất công.	en: Life is hard but people can not blame it on being unfair .
source: en: It is just because that you do not become strong enough to overcome the hard time . second: Chỉ là vì bạn không đủ mạnh mẽ để vượt qua thời gian khó khăn.	en: It is just because that you do not become strong enough to overcome the hard time .
source: en: Furthermore , living with a secret is not a good sensation , especially if the situations of other relatives become worse , you should feel guilty and depressed . second: Hơn nữa, sống với một bí mật không phải là một cảm giác tốt, đặc biệt là nếu tình hình của những người thân khác trở nên tồi tệ hơn, bạn sẽ cảm thấy tội lỗi và trầm cảm.	en: Furthermore , living with a secret is not a good sensation , especially if the situations of other relatives become worse , you should feel guilty and depressed .
source: en: Moreover , the truth can not be hidden forever but when it is revealed , more shocking and upset it will be . second: Hơn nữa, sự thật không thể bị che giấu mãi mãi, nhưng khi nó được tiết lộ, nó sẽ gây sốc và khó chịu hơn.	en: Moreover , the truth can not be hidden forever but when it is revealed , more shocking and upset it will be .
source: en: As the result , it is in the interests of the carriers and their relatives , telling the genetic testing result is needed . second: Vì lợi ích của người mang mầm bệnh và người thân của họ, nên việc thông báo kết quả xét nghiệm di truyền là cần thiết.	en: As the result , it is in the interests of the carriers and their relatives , telling the genetic testing result is needed .
source: en: Last but not least , though genetic testing is a personal matter , telling the result to your family can improve and develop understanding and sympathy of each other as well as promoting awareness of taking care of everyone 's health . second: Cuối cùng nhưng không kém phần quan trọng, xét nghiệm di truyền là vấn đề cá nhân, nhưng việc thông báo kết quả xét nghiệm cho gia đình có thể giúp cải thiện và phát triển sự hiểu biết cũng như cảm thông lẫn nhau, đồng thời nâng cao nhận thức về việc chăm sóc sức khoẻ cho mọi người.	en: Last but not least , though genetic testing is a personal matter , telling the result to your family can improve and develop understanding and sympathy of each other as well as promoting awareness of taking care of everyone 's health .
source: en: That plays an important role in the possibility that relatives can overcome the discrimination of the society and anxiety about the risks . second: Điều đó đóng một vai trò quan trọng trong khả năng mà người thân có thể vượt qua sự phân biệt đối xử của xã hội và lo lắng về những rủi ro.	en: That plays an important role in the possibility that relatives can overcome the discrimination of the society and anxiety about the risks .
source: en: To put it in the nutshell , I believe that people should have the obligation to tell their relatives about the genetic testing result for the good of their health . second: Nói tóm lại, tôi tin rằng mọi người nên có nghĩa vụ phải nói với người thân của họ về kết quả xét nghiệm di truyền vì lợi ích sức khoẻ của họ.	en: To put it in the nutshell , I believe that people should have the obligation to tell their relatives about the genetic testing result for the good of their health .
source: en: It can be very difficult for them but necessary for the carriers and their family . second: Điều này có thể rất khó khăn với họ nhưng cần thiết cho người mang mầm bệnh và gia đình của họ.	en: It can be very difficult for them but necessary for the carriers and their family .
source: en: In addition , emotional preparations and the ways you explain your genetic condition is also important so that you can convey the correct information to your family and relatives and if necessary to guide them if he/she wish to conduct a similar genetic testing . second: Ngoài ra, chuẩn bị về mặt cảm xúc và cách bạn giải thích tình trạng di truyền cũng rất quan trọng để bạn có thể truyền đạt thông tin chính xác cho gia đình và người thân, và nếu cần thiết, bạn có thể hướng dẫn họ nếu họ muốn tiến hành xét nghiệm di truyền tương tự.	en: In addition , emotional preparations and the ways you explain your genetic condition is also important so that you can convey the correct information to your family and relatives and if necessary to guide them if he/she wish to conduct a similar genetic testing .
source: en: The Impact Of Social Media second: Ảnh hưởng của truyền thông xã hội	en: The Impact Of Social Media
source: en: Social media has been playing a vital important role in our lives today . second: Truyền thông xã hội đã đóng một vai trò quan trọng sống còn trong cuộc sống của chúng ta ngày nay.	en: Social media has been playing a vital important role in our lives today .
source: en: It is almost imposible for us to keep way from it . second: Chúng ta gần như không thể tránh khỏi nó.	en: It is almost imposible for us to keep way from it .
source: en: I started invoving into Facebook one years ago,when I just arrived singapore . second: Tôi bắt đầu xâm nhập Facebook một năm trước, khi tôi vừa đến Singapore.	en: I started invoving into Facebook one years ago,when I just arrived singapore .
source: en: And now I got over 500 friends on Facebook and buried myself with hundrends of seeds every day . second: Và giờ tôi có hơn 500 người bạn trên Facebook và chôn vùi bản thân mình với hàng trăm hạt giống mỗi ngày.	en: And now I got over 500 friends on Facebook and buried myself with hundrends of seeds every day .
source: en: We know each others ' status , changements and so on through the social media . second: Chúng ta biết tình trạng của nhau, những thay đổi và vân vân thông qua mạng xã hội.	en: We know each others ' status , changements and so on through the social media .
source: en: For an example , if we change our contact numbers , we will not send SMS to each of individual any longer . second: Ví dụ: nếu chúng ta thay đổi số điện thoại liên lạc, chúng ta sẽ không gửi tin nhắn cho từng cá nhân nữa.	en: For an example , if we change our contact numbers , we will not send SMS to each of individual any longer .
source: en: Instead , we will post a seed and tag our friends to inform this kind of changments . second: Thay vào đó, chúng ta sẽ đăng một hạt giống và gắn thẻ bạn bè để thông báo về những thay đổi này.	en: Instead , we will post a seed and tag our friends to inform this kind of changments .
source: en: And if you are not on it , you will just get lost . second: Và nếu không lên đó, anh sẽ bị lạc.	en: And if you are not on it , you will just get lost .
source: en: In certain aspects , social media has brought us quite a lot of convenience . second: Trong một số khía cạnh, phương tiện truyền thông xã hội mang lại cho chúng ta khá nhiều tiện ích.	en: In certain aspects , social media has brought us quite a lot of convenience .
source: en: It is becoming even more convinient than talking throught the phone since it is free . second: Nó thậm chí còn trở nên dễ chịu hơn là nói chuyện qua điện thoại vì nó miễn phí.	en: It is becoming even more convinient than talking throught the phone since it is free .
source: en: We discuss every thing we like and we have more personal space.Our friends also got more access to know what we are doing and what we like . second: Chúng ta thảo luận mọi thứ mình thích và có nhiều không gian cá nhân hơn.Bạn bè của chúng ta cũng có nhiều cơ hội tiếp cận hơn để biết chúng ta đang làm gì và thích gì.	en: We discuss every thing we like and we have more personal space.Our friends also got more access to know what we are doing and what we like .
source: en: And also , we get a chance to talk to public people like popular stars and know their life better . second: Và chúng ta cũng có cơ hội nói chuyện với những người nổi tiếng như những ngôi sao nổi tiếng và hiểu cuộc sống của họ hơn.	en: And also , we get a chance to talk to public people like popular stars and know their life better .
source: en: In China , a lot of government organizations have open blogs to communicate with people , like firefighters , police stations and so on . second: Ở Trung Quốc, rất nhiều tổ chức chính phủ mở blog để giao tiếp với mọi người, như lính cứu hoả, đồn cảnh sát, v.v...	en: In China , a lot of government organizations have open blogs to communicate with people , like firefighters , police stations and so on .
source: en: Socia media allows them to explain to or inform people what is going on . second: Truyền thông Socia cho phép họ giải thích hoặc thông báo cho mọi người những gì đang xảy ra.	en: Socia media allows them to explain to or inform people what is going on .
source: en: And actually lots of rescuing jobs are done with the help of social media like looking for people get lost and so on . second: Và thực sự rất nhiều công việc giải cứu được thực hiện với sự giúp đỡ của truyền thông xã hội như tìm kiếm người bị lạc và vân vân.	en: And actually lots of rescuing jobs are done with the help of social media like looking for people get lost and so on .
source: en: With more convinient and humanian communications , the relationship between government and people get largely improved . second: Với sự giao tiếp kiên định và nhân văn hơn, mối quan hệ giữa chính phủ và nhân dân được cải thiện đáng kể.	en: With more convinient and humanian communications , the relationship between government and people get largely improved .
source: en: What 's more , various of cultures can be shown to us through social medias . second: Hơn nữa, chúng ta có thể thấy được nhiều nền văn hoá thông qua các tổ chức xã hội.	en: What 's more , various of cultures can be shown to us through social medias .
source: en: We can know more news and cultures through socia medias . second: Chúng ta có thể biết thêm tin tức và văn hoá thông qua các hội xã hội.	en: We can know more news and cultures through socia medias .
source: en: From this scope , social media has shorten our distance . second: Từ phạm vi này, mạng xã hội đã rút ngắn khoảng cách của chúng ta.	en: From this scope , social media has shorten our distance .
source: en: However , we get less chance and less importance to talk face to face since social media is so convinient , advanced and interesting . second: Tuy nhiên, chúng ta ít có cơ hội và ít quan trọng hơn khi nói chuyện trực tiếp vì truyền thông xã hội rất linh hoạt, tiên tiến và thú vị.	en: However , we get less chance and less importance to talk face to face since social media is so convinient , advanced and interesting .
source: en: And even we gather together more people find themselves has less topics to talk than before and choose to digging from their social media again . second: Và thậm chí chúng tôi tập hợp nhiều người hơn nhận thấy họ có ít chủ đề để nói hơn trước và chọn đào bới lại từ phương tiện truyền thông xã hội của họ.	en: And even we gather together more people find themselves has less topics to talk than before and choose to digging from their social media again .
source: en: When we are far away , social media makes it as we are infront of each other ; sometimes when we are by each others ' side , we are seem to be further than far away . second: Khi chúng ta ở xa nhau, mạng xã hội khiến chúng ta như đang đối đầu với nhau; đôi khi khi chúng ta ở bên cạnh nhau, chúng ta dường như ở xa hơn là xa nhau.	en: When we are far away , social media makes it as we are infront of each other ; sometimes when we are by each others ' side , we are seem to be further than far away .
source: en: This kind of feeling makes people 's relationship not as stable , secure and reliable than before . second: Cảm giác này khiến mối quan hệ của mọi người không còn ổn định, an toàn và đáng tin cậy như trước.	en: This kind of feeling makes people 's relationship not as stable , secure and reliable than before .
source: en: Besides , there are more people shwing their pictures of yummy food or travelling experience . second: Ngoài ra, có nhiều người còn treo ảnh của họ về những món ăn ngon hoặc những trải nghiệm du lịch.	en: Besides , there are more people shwing their pictures of yummy food or travelling experience .
source: en: To some extent , this makes our life more luxry and blundering . second: Ở một mức độ nào đó, điều này khiến cuộc sống của chúng ta xa hoa và ngớ ngẩn hơn.	en: To some extent , this makes our life more luxry and blundering .
source: en: For myself , I am long to some places after I saw those beatiful pictures taken by my firneds . second: Riêng tôi, tôi đã đi rất xa sau khi thấy những bức tranh đầy lòng nhân ái đó được chụp bởi những người tôi đã thề.	en: For myself , I am long to some places after I saw those beatiful pictures taken by my firneds .
source: en: Sometimes I even canoot sleep well because of excitement . second: Đôi khi tôi còn ngủ ngon vì sự phấn khích.	en: Sometimes I even canoot sleep well because of excitement .
source: en: Social media makes our life patten so fast and left us less time to think about our life . second: Mạng xã hội khiến cuộc sống của chúng ta trở nên nhanh chóng và khiến chúng ta ít có thời gian để suy nghĩ về cuộc sống của mình hơn.	en: Social media makes our life patten so fast and left us less time to think about our life .
source: en: Social media is becoming more important and we need to think more to make it serve us better and better . second: Truyền thông xã hội đang trở nên quan trọng hơn và chúng ta cần phải suy nghĩ nhiều hơn để làm cho nó phục vụ chúng ta ngày càng tốt hơn.	en: Social media is becoming more important and we need to think more to make it serve us better and better .
source: en: Interpersonal skills , like any other skills requires practice . second: Kỹ năng giao tiếp xã hội. cũng như bất kỳ kỹ năng nào khác đòi hỏi phải luyện tập.	en: Interpersonal skills , like any other skills requires practice .
source: en: Besides that , these skills requires time to develop and adapted . second: Bên cạnh đó, những kỹ năng này đòi hỏi thời gian để phát triển và thích nghi.	en: Besides that , these skills requires time to develop and adapted .
source: en: The burgeoning of social media definitely has its stint ; but amongst all good things , it is better to have them in moderation . second: Sự phát triển của truyền thông xã hội chắc chắn có thời gian; nhưng trong số tất cả những điều tốt đẹp, tốt hơn hết là có chúng ở mức độ vừa phải.	en: The burgeoning of social media definitely has its stint ; but amongst all good things , it is better to have them in moderation .
source: en: Convenience and efficiency are two very important use of social media . second: Sự thuận tiện và hiệu quả là hai yếu tố rất quan trọng khi sử dụng mạng xã hội.	en: Convenience and efficiency are two very important use of social media .
source: en: While millions of users are connect at any one time , any information can be readily available at their perusal . second: Mặc dù hàng triệu người dùng có thể kết nối bất kỳ lúc nào, nhưng bất kỳ thông tin nào cũng có sẵn.	en: While millions of users are connect at any one time , any information can be readily available at their perusal .
source: en: This improves the connectivity between the users . second: Điều này giúp cải thiện khả năng kết nối giữa người dùng.	en: This improves the connectivity between the users .
source: en: For an example , one is able to send notifications and other information we use to have them in hardcopy previously , over the web and the process takes seconds . second: Ví dụ: một người có thể gửi thông báo và thông tin khác mà chúng ta sử dụng để lưu trữ thông báo trên bản cứng trước đó, qua web và quá trình này mất vài giây.	en: For an example , one is able to send notifications and other information we use to have them in hardcopy previously , over the web and the process takes seconds .
source: en: The receipent,will then receive the information almost immediately depending on the quality of the network . second: Người nhận, sau đó sẽ nhận được thông tin gần như ngay lập tức tuỳ thuộc vào chất lượng của mạng.	en: The receipent,will then receive the information almost immediately depending on the quality of the network .
source: en: This covenience can be percieved as almost in realtime . second: Sự đồng thời này có thể được yêu thích như gần như trong thời gian thực.	en: This covenience can be percieved as almost in realtime .
source: en: Next , communication are also greatly improved . second: Tiếp theo, giao tiếp cũng được cải thiện đáng kể.	en: Next , communication are also greatly improved .
source: en: In the past , vast communication are done by one of the many such a telegram , snail mail and poor-quality voice calls . second: Trong quá khứ, việc liên lạc rộng rãi được thực hiện bằng một trong nhiều bức điện như vậy, thư từ qua bưu điện và các cuộc gọi thoại chất lượng kém.	en: In the past , vast communication are done by one of the many such a telegram , snail mail and poor-quality voice calls .
source: en: With the welcoming of application such as Skype and Facetime , any individual can phase off most , of the olden days communication methods . second: Với sự chào đón của ứng dụng Skype và Facetime, bất kỳ cá nhân nào cũng có thể bỏ qua hầu hết các phương thức giao tiếp ngày xưa.	en: With the welcoming of application such as Skype and Facetime , any individual can phase off most , of the olden days communication methods .
source: en: Aside from hearing the voice , a webcamera could also be affixed to emulate a 'real ' interaction with expressions and gestures . second: Ngoài việc nghe giọng nói, một webcam cũng có thể được gắn để mô phỏng một tương tác 'thực'với biểu cảm và cử chỉ.	en: Aside from hearing the voice , a webcamera could also be affixed to emulate a 'real ' interaction with expressions and gestures .
source: en: Communication would have took a different turn without the easily available social media . second: Giao tiếp sẽ có một bước ngoặt khác nếu không có phương tiện truyền thông xã hội dễ dàng có sẵn.	en: Communication would have took a different turn without the easily available social media .
source: en: However , it is a good practice not to intesively use social media all the time . second: Tuy nhiên, bạn không nên sử dụng mạng xã hội một cách quá thường xuyên.	en: However , it is a good practice not to intesively use social media all the time .
source: en: Intimate interaction greatly lack in social media interactions , particularly the touch . second: Sự thân mật không có nhiều trong các tương tác trên mạng xã hội, đặc biệt là sự đụng chạm.	en: Intimate interaction greatly lack in social media interactions , particularly the touch .
source: en: Having to meet and interact for talks allows one to be closer to the recepient . second: Việc phải gặp gỡ và tương tác để đàm phán cho phép một người gần gũi hơn với người nhận.	en: Having to meet and interact for talks allows one to be closer to the recepient .
source: en: It involves a level of dynamic interaction which utlises the motor , thinking and verbal cortex of the mind to coordinate . second: Nó liên quan đến một mức độ tương tác động, nó phát ra động cơ, suy nghĩ và vỏ não bằng lời nói của tâm trí để phối hợp.	en: It involves a level of dynamic interaction which utlises the motor , thinking and verbal cortex of the mind to coordinate .
source: en: Unlike the use of social media , most of the interaction is done with thinking and typing . second: Không giống như việc sử dụng mạng xã hội, hầu hết các tương tác được thực hiện bằng cách suy nghĩ và đánh máy.	en: Unlike the use of social media , most of the interaction is done with thinking and typing .
source: en: As a result , one does not train the necessarily parts of the skills required for a proper interpersonal relations . second: Kết quả là, người ta không rèn luyện được những phần cần thiết của các kỹ năng cần thiết cho một mối quan hệ giữa người với người thích hợp.	en: As a result , one does not train the necessarily parts of the skills required for a proper interpersonal relations .
source: en: It is also entire incorrect to fault social media alone for the lack of interpersonal skill . second: Chỉ riêng việc chê bai phương tiện truyền thông xã hội vì thiếu kỹ năng giao tiếp cũng là hoàn toàn sai.	en: It is also entire incorrect to fault social media alone for the lack of interpersonal skill .
source: en: Howard Garner studied the effect of multiple intelligences amongst people and stated that interpersonal intelligence is a form of skills on its own - some has it , some does not . second: Howard Garner đã nghiên cứu ảnh hưởng của sự đa dạng trí thông minh giữa mọi người và tuyên bố rằng trí thông minh giữa các cá nhân là một dạng kỹ năng riêng của nó - một số có, một số không.	en: Howard Garner studied the effect of multiple intelligences amongst people and stated that interpersonal intelligence is a form of skills on its own - some has it , some does not .
source: en: Howard Garner mentioned that the different intelligences can be charted , in accordance of utilising tests , and ranked . second: Howard Garner đề cập rằng các trí tuệ khác nhau có thể được lập biểu đồ, theo các bài kiểm tra sử dụng, và được xếp hạng.	en: Howard Garner mentioned that the different intelligences can be charted , in accordance of utilising tests , and ranked .
source: en: Fundamentally , those who scored lower ranking for interpersonal skills are more likely to stumble when this skill is needed . second: Về cơ bản, những người đạt điểm thấp trong kỹ năng giao tiếp thường dễ vấp ngã khi cần kỹ năng này.	en: Fundamentally , those who scored lower ranking for interpersonal skills are more likely to stumble when this skill is needed .
source: en: Though social media need not be necessarily bad , it must be used accordingly - for work , family , friends . second: Mặc dù mạng xã hội không nhất thiết phải xấu, nhưng nó phải được sử dụng phù hợp - cho công việc, gia đình, bạn bè.	en: Though social media need not be necessarily bad , it must be used accordingly - for work , family , friends .
source: en: The types of use must also be taken note of - informing , interacting , discussion and others . second: Các loại sử dụng cũng phải được ghi chú - thông báo, tương tác, thảo luận và các loại khác.	en: The types of use must also be taken note of - informing , interacting , discussion and others .
source: en: The space of separation between the parties must also be looked at . second: Khoảng cách giữa các bên cũng phải được xem xét.	en: The space of separation between the parties must also be looked at .
source: en: For people who are living very far from one another , the intensive use social media is justified . second: Đối với những người sống rất xa nhau, việc sử dụng mạng xã hội nhiều là hợp lý.	en: For people who are living very far from one another , the intensive use social media is justified .
source: en: For those who lives within the community should at least meet up , and not use social media as the primary source of communcation with each other . second: Những người sống trong cộng đồng ít nhất cũng nên gặp nhau và không nên dùng mạng xã hội làm nguồn thông tin chính.	en: For those who lives within the community should at least meet up , and not use social media as the primary source of communcation with each other .
source: en: And at the same time , improves the interpersonal skill , through dynamic practises betwwen individuals and realtime presence . second: Đồng thời, cải thiện kỹ năng giao tiếp thông qua các hoạt động năng động, giúp các cá nhân trở nên năng động và hiện diện theo thời gian thực.	en: And at the same time , improves the interpersonal skill , through dynamic practises betwwen individuals and realtime presence .
source: en: The inclusion of intimate presence and relative touch could also bring a better rapport between those interacting . second: Sự hiện diện thân mật và tiếp xúc tương đối cũng có thể mang lại mối quan hệ tốt hơn giữa những người tương tác.	en: The inclusion of intimate presence and relative touch could also bring a better rapport between those interacting .
source: en: Recently , the rise of social media helped people to have more closer connection with each other , it is a more convenient and cheaper way to have online contact compared with face to face meetings . second: Gần đây, sự phát triển của mạng xã hội đã giúp mọi người có mối liên hệ gần gũi hơn với nhau, và đây là cách thuận tiện và rẻ hơn để liên lạc trực tuyến so với gặp mặt trực tiếp.	en: Recently , the rise of social media helped people to have more closer connection with each other , it is a more convenient and cheaper way to have online contact compared with face to face meetings .
source: en: In my opinion , social media websides such as Twitter and Facebook will not affect the chance for people to have face to face contact and thus negatively affects interpersonal skills . second: Theo ý kiến của tôi, các mạng xã hội như Twitter và Facebook sẽ không ảnh hưởng đến cơ hội tiếp xúc trực tiếp của mọi người và do đó ảnh hưởng tiêu cực đến kỹ năng giao tiếp.	en: In my opinion , social media websides such as Twitter and Facebook will not affect the chance for people to have face to face contact and thus negatively affects interpersonal skills .
source: en: On the other hand , it may even increase the chance of having face to face contacts amoung people . second: Mặt khác, nó thậm chí có thể làm tăng khả năng tiếp xúc mặt đối mặt của những người trẻ tuổi.	en: On the other hand , it may even increase the chance of having face to face contacts amoung people .
source: en: First , social media networks have a lot user base , it helps to link people from different parts of the world . second: Đầu tiên, mạng xã hội có nhiều người dùng, giúp liên kết mọi người từ nhiều nơi trên thế giới.	en: First , social media networks have a lot user base , it helps to link people from different parts of the world .
source: en: In the days without the social networks , people may not have the chance to know others from different countries or the ones they never meet before . second: Trong thời đại không có mạng xã hội, mọi người có thể không có cơ hội để làm quen với những người đến từ những quốc gia khác nhau hoặc những người mà họ chưa từng gặp trước đây.	en: In the days without the social networks , people may not have the chance to know others from different countries or the ones they never meet before .
source: en: Their number of people that they know may only limited to the people they meet in daily life like classmates and working partners . second: Số lượng người quen của họ có thể chỉ giới hạn trong những người họ gặp trong cuộc sống hàng ngày như bạn cùng lớp hoặc đồng nghiệp.	en: Their number of people that they know may only limited to the people they meet in daily life like classmates and working partners .
source: en: Therefore , social networks brings more and more connections between people and they may have a chance to chat with people they never known before , and this helps to develop the interpersonal skills as well . second: Vì vậy, mạng xã hội sẽ mang lại nhiều kết nối hơn giữa mọi người và họ có thể có cơ hội trò chuyện với những người họ chưa từng quen biết trước đây, và điều này cũng giúp phát triển kỹ năng giao tiếp.	en: Therefore , social networks brings more and more connections between people and they may have a chance to chat with people they never known before , and this helps to develop the interpersonal skills as well .
source: en: Secondly , although social network takes time for people to chat online but not face to face , they may still decide a time online to meet others face to face in the daily life . second: Thứ hai, mặc dù mạng xã hội cần thời gian để mọi người trò chuyện trực tuyến nhưng không phải mặt đối mặt, nhưng họ vẫn có thể quyết định thời gian trực tuyến để gặp gỡ người khác trong cuộc sống hàng ngày.	en: Secondly , although social network takes time for people to chat online but not face to face , they may still decide a time online to meet others face to face in the daily life .
source: en: In this case , the social network helps people to increase the frequency of talk . second: Trong trường hợp này, mạng xã hội sẽ giúp mọi người tăng tần suất trò chuyện.	en: In this case , the social network helps people to increase the frequency of talk .
source: en: For example , if social network does not exist , the business people need to meet each other face to face and it is other time consuming , even sometimes with business that is not so important , it still takes a lot time on travel which is a wastage . second: Ví dụ, nếu mạng xã hội không tồn tại, các doanh nhân cần gặp mặt trực tiếp và điều này sẽ tốn thời gian, thậm chí đôi khi công việc không quan trọng lắm, nhưng việc đi lại sẽ mất nhiều thời gian và đó là một sự lãng phí.	en: For example , if social network does not exist , the business people need to meet each other face to face and it is other time consuming , even sometimes with business that is not so important , it still takes a lot time on travel which is a wastage .
source: en: However , social network helps people to meet and chat much more easier , they can even use video chat and create group chat to chat with multiple parties at the same time . second: Tuy nhiên, mạng xã hội sẽ giúp mọi người gặp gỡ và trò chuyện dễ dàng hơn, thậm chí họ có thể sử dụng trò chuyện video và tạo nhóm trò chuyện để trò chuyện với nhiều bên cùng một lúc.	en: However , social network helps people to meet and chat much more easier , they can even use video chat and create group chat to chat with multiple parties at the same time .
source: en: Nowadays , even some companies conduct online video interview with their applicants as it saves time and cost . second: Ngày nay, thậm chí một số công ty còn thực hiện video phỏng vấn trực tuyến với ứng viên vì nó tiết kiệm thời gian và chi phí.	en: Nowadays , even some companies conduct online video interview with their applicants as it saves time and cost .
source: en: The social network may also creat some negative impacts for the people . second: Mạng lưới xã hội cũng có thể tạo ra một số tác động tiêu cực cho người dân.	en: The social network may also creat some negative impacts for the people .
source: en: The largest negative impact is that due to the online network , some people start to use and rely on internet every minute . second: Tác động tiêu cực lớn nhất là do mạng internet. một số người bắt đầu sử dụng và dựa vào internet mỗi phút.	en: The largest negative impact is that due to the online network , some people start to use and rely on internet every minute .
